+-------+--------+--------+-------+----------+
|  列车 | 二等座 | 出发地 |  发车 |   时间   |
+-------+--------+--------+-------+----------+
| G7035 |   有   | 昆山南 | 08:12 | 20170209 |
| G7035 |   有   | 昆山南 | 08:12 | 20170210 |
| G7035 |   有   | 昆山南 | 08:12 | 20170213 |
| G7035 |   有   | 昆山南 | 08:12 | 20170214 |
| G7035 |   有   | 昆山南 | 08:12 | 20170215 |
| G7035 |   有   | 昆山南 | 08:12 | 20170216 |
| G7035 |   有   | 昆山南 | 08:12 | 20170217 |
| G7035 |   有   | 昆山南 | 08:12 | 20170220 |
| G7035 |   有   | 昆山南 | 08:12 | 20170221 |
| G7035 |   有   | 昆山南 | 08:12 | 20170222 |
|   -   |   -    |   -    |   -   |    -     |
| G7062 |   有   |  上海  | 19:32 | 20170208 |
| G7064 |   有   |  上海  | 19:37 | 20170208 |
| G7030 |   有   |  上海  | 20:59 | 20170208 |
| G7062 |   有   |  上海  | 19:32 | 20170209 |
| G7064 |   有   |  上海  | 19:37 | 20170209 |
| G7030 |   有   |  上海  | 20:59 | 20170209 |
| G7062 |   无   |  上海  | 19:32 | 20170210 |
| G7064 |   有   |  上海  | 19:37 | 20170210 |
| G7030 |   有   |  上海  | 20:59 | 20170210 |
| G7062 |   有   |  上海  | 19:32 | 20170213 |
| G7064 |   有   |  上海  | 19:37 | 20170213 |
| G7030 |   有   |  上海  | 20:59 | 20170213 |
| G7062 |   有   |  上海  | 19:32 | 20170214 |
| G7064 |   有   |  上海  | 19:37 | 20170214 |
| G7030 |   有   |  上海  | 20:59 | 20170214 |
| G7062 |   有   |  上海  | 19:32 | 20170215 |
| G7064 |   有   |  上海  | 19:37 | 20170215 |
| G7030 |   有   |  上海  | 20:59 | 20170215 |
| G7062 |   有   |  上海  | 19:32 | 20170216 |
| G7064 |   有   |  上海  | 19:37 | 20170216 |
| G7030 |   有   |  上海  | 20:59 | 20170216 |
| G7062 |   有   |  上海  | 19:32 | 20170217 |
| G7064 |   有   |  上海  | 19:37 | 20170217 |
| G7030 |   有   |  上海  | 20:59 | 20170217 |
| G7062 |   有   |  上海  | 19:32 | 20170220 |
| G7064 |   有   |  上海  | 19:37 | 20170220 |
| G7030 |   有   |  上海  | 20:59 | 20170220 |
| G7062 |   有   |  上海  | 19:32 | 20170221 |
| G7064 |   有   |  上海  | 19:37 | 20170221 |
| G7030 |   有   |  上海  | 20:59 | 20170221 |
| G7062 |   有   |  上海  | 19:32 | 20170222 |
| G7064 |   有   |  上海  | 19:37 | 20170222 |
| G7030 |   有   |  上海  | 20:59 | 20170222 |
+-------+--------+--------+-------+----------+
